CODE,NAME,AGES_0-14,AGES_15-64,AGES_65P,AGES_W_15-49,AGES_0,AGES_1-4,AGES_5-9,AGES_10-14,AGES_15-19,AGES_20-24,AGES_25-29,AGES_30-34,AGES_35-39,AGES_40-44,AGES_45-49,AGES_50-54,AGES_55-59,AGES_60-64,AGES_65-69,AGES_70-74,AGES_75-79,AGES_80-84,AGES_85P
110101,东城区,0.1387,0.679,0.1823,0.2316,0.0062,0.0362,0.0583,0.038,0.0232,0.0339,0.0563,0.0838,0.1028,0.0807,0.0697,0.0654,0.0811,0.0822,0.073,0.0389,0.023,0.0235,0.0238
110102,西城区,0.1427,0.6755,0.1817,0.235,0.0063,0.0368,0.0603,0.0394,0.0234,0.0348,0.0554,0.0798,0.1029,0.0857,0.0738,0.0645,0.0772,0.078,0.0714,0.0385,0.0232,0.0233,0.0253
110105,朝阳区,0.1145,0.7428,0.1427,0.2712,0.0068,0.0368,0.0426,0.0282,0.0228,0.0531,0.0887,0.1168,0.1062,0.0787,0.0732,0.0696,0.0712,0.0626,0.0553,0.0318,0.0212,0.0195,0.015
110106,丰台区,0.1088,0.7328,0.1584,0.2479,0.0069,0.0369,0.0377,0.0273,0.021,0.043,0.079,0.1102,0.0973,0.0722,0.0724,0.0738,0.0852,0.0787,0.0653,0.0356,0.0217,0.02,0.0159
110107,石景山区,0.1136,0.7226,0.1638,0.2422,0.0071,0.0372,0.0402,0.0291,0.028,0.0505,0.0708,0.1016,0.0947,0.0711,0.0704,0.0727,0.084,0.0788,0.0686,0.0345,0.0219,0.0214,0.0174
110108,海淀区,0.1184,0.7509,0.1306,0.2799,0.0059,0.0343,0.0446,0.0337,0.0432,0.0975,0.0934,0.0961,0.0894,0.0737,0.072,0.067,0.0647,0.0539,0.0482,0.0274,0.0196,0.0196,0.0157
110109,门头沟区,0.114,0.7384,0.1476,0.2297,0.0077,0.0403,0.0377,0.0283,0.0222,0.0437,0.0742,0.1045,0.0858,0.0673,0.0777,0.0883,0.0961,0.0785,0.0632,0.0342,0.0206,0.017,0.0126
110111,房山区,0.1289,0.739,0.1321,0.2414,0.0081,0.0464,0.0447,0.0298,0.0326,0.0531,0.0706,0.1155,0.0961,0.0683,0.0763,0.0804,0.0801,0.0661,0.058,0.0333,0.0197,0.0127,0.0085
110112,通州区,0.121,0.7639,0.1151,0.26,0.0071,0.0433,0.0429,0.0277,0.0259,0.0592,0.0983,0.129,0.1063,0.0762,0.0729,0.0723,0.0671,0.0566,0.0525,0.0289,0.0157,0.0101,0.0079
110113,顺义区,0.1173,0.7743,0.1084,0.2478,0.0076,0.0426,0.0404,0.0267,0.0239,0.0536,0.0881,0.1388,0.1005,0.0725,0.0808,0.0838,0.0755,0.0568,0.0478,0.0266,0.0164,0.01,0.0076
110114,昌平区,0.104,0.7989,0.0972,0.271,0.007,0.0395,0.0354,0.0221,0.0348,0.0858,0.1246,0.1364,0.097,0.0676,0.0678,0.0678,0.0647,0.0523,0.0425,0.0235,0.0137,0.0098,0.0078
110115,大兴区,0.1188,0.7841,0.0971,0.2593,0.0077,0.0448,0.0408,0.0256,0.0309,0.0689,0.0958,0.1366,0.1037,0.072,0.0772,0.0765,0.0697,0.053,0.0424,0.0237,0.0135,0.0094,0.008
110116,怀柔区,0.1177,0.7546,0.1276,0.2235,0.007,0.0386,0.0391,0.0329,0.0263,0.0657,0.0713,0.0967,0.0855,0.0664,0.0868,0.0982,0.0898,0.0679,0.053,0.0294,0.0187,0.0145,0.0119
110117,平谷区,0.1329,0.7028,0.1643,0.2119,0.0083,0.0487,0.0432,0.0327,0.0219,0.0371,0.0626,0.1111,0.0822,0.0602,0.0768,0.0858,0.0891,0.0759,0.0673,0.0429,0.0243,0.0164,0.0135
110118,密云区,0.1265,0.7216,0.1519,0.2105,0.0078,0.0423,0.041,0.0355,0.0262,0.0409,0.0606,0.0935,0.0818,0.0631,0.0776,0.1008,0.0977,0.0795,0.0632,0.0357,0.0234,0.0168,0.0128
110119,延庆区,0.1171,0.7261,0.1568,0.2098,0.0073,0.0402,0.0373,0.0323,0.0352,0.0501,0.057,0.0934,0.0733,0.063,0.0848,0.1031,0.0929,0.0733,0.0633,0.0394,0.0233,0.0177,0.0132
120101,和平区,0.1456,0.6972,0.1572,0.2334,0.0043,0.0326,0.0586,0.0501,0.0347,0.0603,0.0668,0.0861,0.0964,0.0806,0.0767,0.0669,0.0647,0.0639,0.0613,0.038,0.0229,0.0157,0.0193
120102,河东区,0.1153,0.6901,0.1946,0.2183,0.005,0.0332,0.043,0.0341,0.0304,0.0381,0.0575,0.0913,0.0957,0.0661,0.0659,0.0641,0.0871,0.0939,0.0825,0.0473,0.0273,0.0193,0.0182
120103,河西区,0.1221,0.6831,0.1948,0.233,0.005,0.0319,0.0487,0.0365,0.0362,0.0579,0.0569,0.0802,0.0923,0.0666,0.0657,0.0633,0.0789,0.0851,0.0773,0.0455,0.0298,0.0217,0.0205
120104,南开区,0.1193,0.6833,0.1974,0.2289,0.0048,0.0319,0.0464,0.0362,0.0312,0.0557,0.0625,0.0839,0.0929,0.0665,0.0642,0.0625,0.0792,0.0847,0.0779,0.0462,0.0304,0.0227,0.0203
120105,河北区,0.1094,0.6841,0.2065,0.2098,0.0047,0.0316,0.0412,0.0318,0.0303,0.0389,0.0541,0.0892,0.0924,0.0618,0.0597,0.062,0.0925,0.1033,0.0882,0.049,0.0283,0.0211,0.02
120106,红桥区,0.1054,0.6899,0.2047,0.2086,0.0044,0.0302,0.0386,0.0321,0.034,0.0415,0.0563,0.086,0.0893,0.0619,0.0596,0.0634,0.0953,0.1026,0.0859,0.0491,0.0287,0.0213,0.0196
120110,东丽区,0.1269,0.7628,0.1103,0.2416,0.0067,0.0412,0.0436,0.0354,0.0439,0.0666,0.087,0.1254,0.0938,0.0662,0.0717,0.0725,0.0739,0.0619,0.0481,0.0283,0.0162,0.0099,0.0077
120111,西青区,0.1195,0.776,0.1045,0.2699,0.0059,0.04,0.0408,0.0328,0.0615,0.1081,0.084,0.1156,0.0867,0.063,0.0664,0.0694,0.0663,0.0549,0.0456,0.0268,0.0155,0.0092,0.0074
120112,津南区,0.1349,0.7623,0.1028,0.2552,0.0069,0.0412,0.0459,0.0409,0.0745,0.0888,0.0749,0.1052,0.0799,0.0628,0.0728,0.0774,0.0698,0.0562,0.0434,0.0273,0.0158,0.0093,0.0069
120113,北辰区,0.1224,0.7437,0.1339,0.2424,0.0058,0.037,0.0435,0.0361,0.0501,0.0694,0.0662,0.1048,0.0931,0.0685,0.069,0.0725,0.0787,0.0714,0.0592,0.0345,0.0191,0.0117,0.0093
120114,武清区,0.1484,0.7122,0.1393,0.2359,0.0065,0.0408,0.0499,0.0512,0.0458,0.0483,0.0657,0.0999,0.0798,0.079,0.0797,0.0776,0.0775,0.059,0.0595,0.0388,0.0211,0.0116,0.0083
120115,宝坻区,0.148,0.6938,0.1583,0.2183,0.0071,0.0415,0.049,0.0504,0.0402,0.0429,0.0651,0.0982,0.0669,0.0694,0.0791,0.0894,0.0812,0.0614,0.0668,0.0423,0.0238,0.0143,0.0111
120116,滨海新区,0.1456,0.734,0.1204,0.2456,0.0067,0.043,0.052,0.0439,0.0445,0.0584,0.0711,0.1112,0.0928,0.0736,0.0781,0.0775,0.0698,0.0569,0.0503,0.031,0.0182,0.0124,0.0085
120117,宁河区,0.1576,0.6886,0.1537,0.2096,0.0061,0.036,0.0558,0.0598,0.0374,0.0395,0.0668,0.0944,0.0718,0.0674,0.0736,0.0854,0.0803,0.0721,0.0681,0.0407,0.023,0.0127,0.0092
120118,静海区,0.1631,0.7038,0.133,0.2308,0.0061,0.0378,0.0559,0.0633,0.0534,0.0634,0.0701,0.0838,0.0675,0.0685,0.0885,0.0894,0.0657,0.0536,0.0573,0.0378,0.019,0.0107,0.0082
120119,蓟州区,0.1675,0.6729,0.1596,0.2095,0.0069,0.0397,0.0588,0.0622,0.0403,0.0368,0.0557,0.0983,0.0719,0.0574,0.0714,0.0883,0.0847,0.0682,0.0668,0.0427,0.0233,0.0151,0.0116
