CODE,NAME,EDUC_NULL,EDUC_NULL_M,EDUC_NULL_W,EDUC_PRES,EDUC_PRES_M,EDUC_PRES_W,EDUC_PRIM,EDUC_PRIM_M,EDUC_PRIM_W,EDUC_JRHI,EDUC_JRHI_M,EDUC_JRHI_W,EDUC_SRHI,EDUC_SRHI_M,EDUC_SRHI_W,EDUC_COLL,EDUC_COLL_M,EDUC_COLL_W,EDUC_UNIP,EDUC_UNIP_M,EDUC_UNIP_W,EDUC_AVGY,EDUC_AVGY_M,EDUC_AVGY_W,EDUC_LITR,EDUC_LITR_M,EDUC_LITR_W
110101,东城区,0.00667,0.00282,0.01028,0.00448,0.00474,0.00423,0.107,0.10264,0.11107,0.16696,0.17872,0.15594,0.23382,0.2357,0.23206,0.14368,0.14347,0.14388,0.3374,0.33191,0.34253,12.65,12.66,12.64,0.00471,0.0007,0.00401
110102,西城区,0.00691,0.00274,0.0108,0.00491,0.00527,0.00456,0.1086,0.10358,0.1133,0.16528,0.17471,0.15646,0.20282,0.203,0.20265,0.13577,0.13387,0.13754,0.37572,0.37682,0.37469,12.76,12.8,12.72,0.00537,0.00078,0.00459
110105,朝阳区,0.0062,0.00285,0.00946,0.00353,0.00367,0.0034,0.09089,0.08558,0.09605,0.19561,0.21384,0.17791,0.18446,0.18715,0.18184,0.14274,0.14058,0.14483,0.37656,0.36634,0.3865,12.83,12.79,12.86,0.00491,0.00095,0.00396
110106,丰台区,0.00854,0.00319,0.01376,0.00313,0.00317,0.00308,0.09126,0.08336,0.09896,0.2106,0.22408,0.19747,0.21761,0.21797,0.21726,0.15297,0.15351,0.15244,0.31589,0.31472,0.31704,12.56,12.62,12.49,0.00737,0.00121,0.00616
110107,石景山区,0.01004,0.00395,0.01601,0.00347,0.00359,0.00336,0.09166,0.08542,0.09776,0.18524,0.19462,0.17605,0.21075,0.20785,0.2136,0.1587,0.16039,0.15703,0.34014,0.34419,0.33618,12.73,12.83,12.63,0.0088,0.0015,0.0073
110108,海淀区,0.00566,0.00248,0.00881,0.0034,0.00352,0.00329,0.08837,0.08327,0.09343,0.15735,0.16882,0.14599,0.15219,0.15281,0.15158,0.12117,0.11595,0.12634,0.47185,0.47314,0.47057,13.26,13.28,13.24,0.0052,0.00095,0.00425
110109,门头沟区,0.0154,0.00642,0.02461,0.00309,0.00303,0.00315,0.12613,0.11109,0.14157,0.28851,0.31009,0.26635,0.22248,0.22674,0.21811,0.15351,0.15695,0.14998,0.19088,0.18568,0.19622,11.53,11.66,11.4,0.01418,0.00283,0.01135
110111,房山区,0.01394,0.00636,0.02196,0.00368,0.00371,0.00366,0.1355,0.1196,0.15233,0.33331,0.35639,0.30888,0.18479,0.19113,0.17809,0.14001,0.1412,0.13877,0.18876,0.18162,0.19632,11.29,11.38,11.19,0.01327,0.00292,0.01034
110112,通州区,0.00794,0.00402,0.0123,0.00386,0.00368,0.00405,0.12603,0.11494,0.13836,0.31034,0.33801,0.27958,0.17855,0.18304,0.17356,0.15546,0.15076,0.1607,0.21781,0.20554,0.23146,11.66,11.63,11.7,0.0069,0.00164,0.00525
110113,顺义区,0.01101,0.0051,0.01789,0.0036,0.00355,0.00366,0.13165,0.1203,0.14487,0.36342,0.39581,0.32569,0.17519,0.18128,0.16809,0.1276,0.12197,0.13415,0.18754,0.17199,0.20566,11.21,11.16,11.25,0.00993,0.00229,0.00765
110114,昌平区,0.00794,0.0039,0.01265,0.00335,0.00324,0.00347,0.09232,0.08229,0.10403,0.24705,0.26298,0.22845,0.18056,0.18394,0.17661,0.15813,0.1563,0.16027,0.31065,0.30734,0.31452,12.44,12.49,12.4,0.00729,0.00179,0.0055
110115,大兴区,0.00936,0.00477,0.01472,0.00399,0.00384,0.00417,0.1219,0.11017,0.13564,0.30454,0.3342,0.26986,0.18696,0.19092,0.18232,0.15057,0.14492,0.15718,0.22267,0.21117,0.23611,11.69,11.66,11.72,0.00826,0.00203,0.00623
110116,怀柔区,0.02566,0.01299,0.04015,0.00352,0.00318,0.00391,0.15219,0.13843,0.16793,0.349,0.37657,0.31743,0.19757,0.20443,0.18971,0.1187,0.11926,0.11807,0.15336,0.14513,0.16279,10.78,10.9,10.63,0.02479,0.00665,0.01813
110117,平谷区,0.03063,0.01267,0.04941,0.00433,0.00413,0.00453,0.17939,0.16021,0.19945,0.34752,0.37639,0.31733,0.1963,0.20776,0.18432,0.12698,0.1301,0.12372,0.11485,0.10874,0.12124,10.43,10.66,10.18,0.03151,0.00673,0.02478
110118,密云区,0.02885,0.015,0.04332,0.00354,0.00333,0.00376,0.17337,0.15973,0.18762,0.36604,0.38924,0.34182,0.18842,0.19659,0.17989,0.12051,0.12371,0.11717,0.11926,0.11239,0.12643,10.43,10.6,10.26,0.02885,0.00768,0.02116
110119,延庆区,0.03233,0.01927,0.04685,0.00366,0.00356,0.00378,0.18925,0.17862,0.20106,0.35044,0.37881,0.3189,0.17653,0.17873,0.17409,0.11935,0.12062,0.11793,0.12844,0.12038,0.1374,10.37,10.48,10.25,0.03106,0.00969,0.02138
120101,和平区,0.00831,0.0045,0.01242,0.00547,0.00551,0.00542,0.14823,0.14517,0.15152,0.29848,0.33431,0.25981,0.19715,0.19172,0.20301,0.11522,0.11118,0.11958,0.22715,0.20761,0.24824,11.42,11.28,11.57,0.00722,0.00177,0.00545
120102,河东区,0.00868,0.004,0.01334,0.00354,0.00362,0.00346,0.11166,0.10552,0.11777,0.27452,0.28576,0.26331,0.25204,0.24899,0.25508,0.14278,0.14601,0.13955,0.20679,0.2061,0.20747,11.76,11.83,11.69,0.00716,0.00149,0.00566
120103,河西区,0.00757,0.00383,0.01112,0.00444,0.00463,0.00426,0.1113,0.1079,0.11453,0.23675,0.25488,0.21952,0.23211,0.2276,0.2364,0.14144,0.14079,0.14205,0.2664,0.26037,0.27213,12.11,12.09,12.13,0.00628,0.00129,0.00499
120104,南开区,0.00826,0.00388,0.0125,0.00346,0.00373,0.0032,0.1078,0.10355,0.11193,0.23578,0.24831,0.22363,0.23055,0.22654,0.23443,0.14062,0.14088,0.14038,0.27353,0.27311,0.27393,12.16,12.2,12.13,0.00725,0.00147,0.00578
120105,河北区,0.00906,0.00409,0.01396,0.00363,0.00392,0.00333,0.10672,0.0998,0.11354,0.28218,0.29244,0.27208,0.27533,0.27199,0.27863,0.14749,0.15555,0.13955,0.17559,0.17221,0.17892,11.65,11.74,11.57,0.00785,0.00153,0.00632
120106,红桥区,0.00925,0.00408,0.01442,0.00341,0.00355,0.00327,0.10652,0.09951,0.11353,0.28221,0.29084,0.27359,0.28036,0.27817,0.28255,0.12882,0.13209,0.12555,0.18942,0.19175,0.1871,11.64,11.73,11.54,0.00745,0.00151,0.00594
120110,东丽区,0.01115,0.00661,0.0165,0.00444,0.00426,0.00464,0.15228,0.1386,0.1684,0.35556,0.36312,0.34665,0.1804,0.18785,0.17161,0.1306,0.13359,0.12707,0.16558,0.16597,0.16512,11.02,11.15,10.86,0.00931,0.00253,0.00678
120111,西青区,0.01097,0.00649,0.01596,0.00397,0.00402,0.00391,0.15057,0.14214,0.15997,0.32165,0.34242,0.29848,0.17412,0.17658,0.17137,0.11137,0.11433,0.10807,0.22736,0.21401,0.24225,11.31,11.31,11.31,0.01025,0.00306,0.0072
120112,津南区,0.01722,0.00877,0.0267,0.00447,0.0046,0.00432,0.17326,0.16368,0.18401,0.35686,0.37145,0.34048,0.1467,0.15198,0.14077,0.13944,0.14066,0.13808,0.16205,0.15886,0.16564,10.84,10.94,10.72,0.01787,0.00474,0.01313
120113,北辰区,0.01294,0.00756,0.0188,0.00425,0.00436,0.00414,0.15654,0.14756,0.1663,0.35795,0.37792,0.33626,0.19594,0.19708,0.1947,0.12385,0.12583,0.1217,0.14852,0.13969,0.15812,10.87,10.9,10.84,0.01145,0.00314,0.00831
120114,武清区,0.01272,0.00668,0.01912,0.00613,0.00624,0.00602,0.22127,0.20377,0.2398,0.42704,0.44897,0.40382,0.1537,0.16068,0.14632,0.08441,0.08477,0.08403,0.09472,0.08889,0.1009,9.88,9.97,9.79,0.01305,0.00335,0.0097
