CODE,NAME,EMPL_OCCU,EMPL_PROF_KMAN,EMPL_PROF_TECP,EMPL_PROF_OFCE,EMPL_PROF_SRVC,EMPL_PROF_AGHU,EMPL_PROF_MANU,EMPL_PROF_OTHR
110101,东城区,0.488,0.058,0.2858,0.2211,0.3945,0.0004,0.0389,0.0013
110102,西城区,0.5059,0.0519,0.3237,0.2045,0.384,0.0006,0.0345,0.0007
110105,朝阳区,0.5487,0.0355,0.2841,0.1752,0.4468,0.0008,0.057,0.0006
110106,丰台区,0.5382,0.0382,0.2868,0.1719,0.4309,0.0011,0.071,0
110107,石景山区,0.4905,0.0455,0.3192,0.1861,0.3715,0.0016,0.0739,0.0021
110108,海淀区,0.5235,0.0625,0.326,0.1569,0.3888,0.003,0.0604,0.0024
110109,门头沟区,0.4762,0.0285,0.2229,0.1583,0.4654,0.0197,0.1035,0.0016
110111,房山区,0.5118,0.0429,0.2278,0.138,0.423,0.0231,0.1452,0
110112,通州区,0.5573,0.0508,0.2229,0.1308,0.448,0.0118,0.1337,0.0019
110113,顺义区,0.6398,0.0171,0.163,0.1265,0.4635,0.0189,0.211,0
110114,昌平区,0.6155,0.0253,0.2524,0.1087,0.4979,0.0097,0.106,0
110115,大兴区,0.5996,0.0507,0.2226,0.1286,0.4153,0.0176,0.1639,0.0013
110116,怀柔区,0.5466,0.032,0.1532,0.1418,0.389,0.043,0.241,0
110117,平谷区,0.5566,0.03,0.1598,0.1252,0.3691,0.1541,0.1604,0.0014
110118,密云区,0.5262,0.0223,0.1402,0.1646,0.4159,0.0885,0.1685,0
110119,延庆区,0.4968,0.0297,0.1536,0.1614,0.4176,0.0844,0.1526,0.0007
120101,和平区,0.4541,0.0751,0.2486,0.2652,0.337,0.0022,0.056,0.0159
120102,河东区,0.4009,0.0429,0.2431,0.2393,0.3585,0.0007,0.1137,0.0017
120103,河西区,0.406,0.0621,0.2541,0.2722,0.324,0.0016,0.0802,0.0058
120104,南开区,0.4307,0.0622,0.2822,0.2221,0.3544,0.001,0.0743,0.0039
120105,河北区,0.3615,0.0516,0.2142,0.235,0.3876,0.0004,0.1041,0.0071
120106,红桥区,0.3694,0.0469,0.2284,0.2529,0.364,0.0008,0.1059,0.001
120110,东丽区,0.5083,0.029,0.1589,0.1395,0.3916,0.0054,0.2694,0.0061
120111,西青区,0.4895,0.0505,0.1493,0.1642,0.36,0.0287,0.2191,0.0282
120112,津南区,0.4831,0.056,0.1454,0.1231,0.3912,0.0059,0.277,0.0014
120113,北辰区,0.4488,0.0521,0.1471,0.1424,0.3748,0.026,0.2362,0.0214
120114,武清区,0.5579,0.0381,0.1111,0.0826,0.2852,0.2197,0.2604,0.0029
120115,宝坻区,0.5364,0.0364,0.0958,0.0758,0.2483,0.2212,0.3196,0.0028
120116,滨海新区,0.5522,0.0465,0.1821,0.1636,0.348,0.02,0.233,0.0069
120117,宁河区,0.5061,0.0164,0.0892,0.0894,0.2635,0.2919,0.2459,0.0039
120118,静海区,0.4607,0.0347,0.1012,0.0815,0.2772,0.1804,0.3141,0.0109
120119,蓟州区,0.5088,0.0162,0.0927,0.0709,0.3062,0.3127,0.1987,0.0026
130102,长安区,0.5711,0.0545,0.2072,0.1256,0.4789,0.0106,0.1226,0.0005
130104,桥西区,0.5459,0.052,0.2288,0.1733,0.4565,0.0014,0.0851,0.0028
130105,新华区,0.5377,0.0314,0.2218,0.136,0.4878,0.0041,0.1176,0.0012
130107,井陉矿区,0.4707,0.0256,0.1202,0.1154,0.3916,0.014,0.3332,0
130108,裕华区,0.5138,0.0674,0.2596,0.1523,0.4148,0.0034,0.1015,0.0009
130109,藁城区,0.6563,0.0144,0.0731,0.0372,0.2991,0.3167,0.259,0.0005
130110,鹿泉区,0.5435,0.0116,0.1481,0.0486,0.4886,0.0743,0.2287,0
130111,栾城区,0.5303,0.0223,0.1111,0.0605,0.3997,0.1245,0.2817,0.0002
130121,井陉县,0.6203,0.0154,0.0653,0.0506,0.2796,0.4136,0.1755,0.0001
130123,正定县,0.5274,0.0311,0.1253,0.064,0.4204,0.0706,0.2884,0.0001
130125,行唐县,0.6682,0.0127,0.0578,0.0373,0.3237,0.3554,0.2127,0.0005
130126,灵寿县,0.5185,0.0087,0.0766,0.0507,0.2857,0.3754,0.2028,0.0001
130127,高邑县,0.5158,0.0168,0.0937,0.0652,0.4096,0.0906,0.3233,0.0007
130128,深泽县,0.5142,0.0139,0.052,0.0399,0.2988,0.2569,0.3362,0.0024
130129,赞皇县,0.5251,0.0162,0.0724,0.06,0.292,0.32,0.2392,0.0002
130130,无极县,0.6209,0.0166,0.0653,0.0323,0.2997,0.2296,0.3561,0.0005
130131,平山县,0.4817,0.0175,0.0953,0.0727,0.336,0.2101,0.2679,0.0005
130132,元氏县,0.5622,0.016,0.0809,0.0423,0.3966,0.2222,0.2421,0.0001
130133,赵县,0.6034,0.0137,0.0668,0.0367,0.2843,0.3148,0.2828,0.0009
130171,石家庄高新技术产业开发区,0.5876,0.0424,0.2114,0.1232,0.4103,0.0079,0.2046,0.0002
130172,石家庄循环化工园区,0.5762,0.0193,0.1045,0.0406,0.3731,0.0439,0.4185,0
130181,辛集市,0.565,0.0276,0.0737,0.0417,0.2702,0.3184,0.2672,0.0011
130183,晋州市,0.5949,0.0179,0.061,0.0335,0.3491,0.1348,0.4023,0.0012
130184,新乐市,0.5151,0.0202,0.0844,0.0464,0.3335,0.2268,0.2882,0.0005
130202,路南区,0.5455,0.0318,0.1708,0.1197,0.4864,0.0408,0.1503,0.0001
130203,路北区,0.4672,0.0355,0.2203,0.1632,0.397,0.0312,0.1527,0.0001
130204,古冶区,0.3781,0.0153,0.1373,0.1021,0.3351,0.0528,0.3573,0
130205,开平区,0.5305,0.0189,0.1104,0.0726,0.3947,0.1682,0.235,0.0001
130207,丰南区,0.55,0.0146,0.0997,0.0642,0.3212,0.2311,0.2692,0
130208,丰润区,0.5351,0.0201,0.1087,0.0553,0.3669,0.2145,0.2344,0
130209,曹妃甸区,0.5256,0.0112,0.1192,0.1118,0.3182,0.0844,0.3548,0.0003
130224,滦南县,0.6326,0.0055,0.0692,0.0334,0.2677,0.4319,0.1924,0
130225,乐亭县,0.7043,0.0065,0.0617,0.0401,0.355,0.3226,0.214,0
130227,迁西县,0.6422,0.0135,0.0834,0.0598,0.285,0.3167,0.2415,0.0001
130229,玉田县,0.5716,0.0163,0.0703,0.0406,0.2784,0.3798,0.2146,0
130271,河北唐山芦台经济开发区,0.5695,0.0306,0.0556,0.0518,0.2031,0.0839,0.5749,0
