CODE,NAME,FMLY_UNMA,FMLY_UNMA_M,FMLY_UNMA_W,FMLY_MARR,FMLY_MARR_M,FMLY_MARR_W,FMLY_DVRC,FMLY_DVRC_M,FMLY_DVRC_W,FMLY_WIDO,FMLY_WIDO_M,FMLY_WIDO_W,FMLY_CHLD_15-64W
110101,东城区,0.1703,0.1784,0.163,0.7339,0.763,0.7072,0.0408,0.0346,0.0465,0.055,0.024,0.0833,0.82
110102,西城区,0.1692,0.1792,0.1599,0.7433,0.7672,0.7211,0.035,0.0296,0.04,0.0525,0.024,0.0791,0.85
110105,朝阳区,0.2146,0.2134,0.2157,0.7129,0.7425,0.6847,0.0314,0.0253,0.0371,0.0411,0.0187,0.0625,0.76
110106,丰台区,0.1823,0.1879,0.1768,0.7358,0.7628,0.7097,0.035,0.0291,0.0407,0.0469,0.0202,0.0729,0.82
110107,石景山区,0.1808,0.1962,0.1657,0.7387,0.7524,0.7254,0.0321,0.028,0.0361,0.0484,0.0234,0.0728,0.81
110108,海淀区,0.2845,0.3001,0.2691,0.6543,0.6636,0.6451,0.0257,0.0204,0.031,0.0355,0.0159,0.0548,0.75
110109,门头沟区,0.1517,0.1715,0.1322,0.7598,0.7767,0.7431,0.0319,0.0275,0.0363,0.0565,0.0242,0.0884,0.93
110111,房山区,0.1627,0.1798,0.1451,0.7592,0.7687,0.7495,0.0294,0.0272,0.0316,0.0486,0.0242,0.0737,1.03
110112,通州区,0.2005,0.2124,0.1878,0.7404,0.7511,0.729,0.0227,0.0195,0.0262,0.0364,0.017,0.057,0.89
110113,顺义区,0.1716,0.1862,0.1547,0.7698,0.7764,0.7622,0.0222,0.0203,0.0244,0.0364,0.0171,0.0587,1.02
110114,昌平区,0.2737,0.3019,0.2411,0.6739,0.6667,0.6822,0.0237,0.0194,0.0287,0.0288,0.0121,0.048,0.81
110115,大兴区,0.1988,0.2126,0.1832,0.745,0.7526,0.7363,0.024,0.02,0.0286,0.0323,0.0148,0.0519,0.96
110116,怀柔区,0.1598,0.1848,0.1322,0.7645,0.7662,0.7627,0.0277,0.0245,0.0312,0.048,0.0245,0.0738,1.07
110117,平谷区,0.1209,0.1465,0.0946,0.7948,0.798,0.7915,0.0239,0.024,0.0238,0.0603,0.0315,0.09,1.23
110118,密云区,0.1198,0.1425,0.097,0.796,0.8038,0.788,0.0251,0.0244,0.0258,0.0591,0.0293,0.0892,1.11
110119,延庆区,0.1416,0.1666,0.1148,0.7742,0.7752,0.7731,0.0303,0.0308,0.0298,0.054,0.0274,0.0824,1.12
120101,和平区,0.1524,0.1683,0.1383,0.741,0.7659,0.7189,0.0404,0.0365,0.0438,0.0662,0.0294,0.099,0.92
120102,河东区,0.1508,0.1652,0.1372,0.7427,0.7628,0.7238,0.0406,0.0384,0.0427,0.0659,0.0337,0.0963,0.84
120103,河西区,0.183,0.1866,0.1798,0.7161,0.7495,0.686,0.0351,0.031,0.0389,0.0657,0.0329,0.0953,0.79
120104,南开区,0.1808,0.1927,0.1698,0.716,0.7421,0.692,0.0377,0.0331,0.0418,0.0656,0.032,0.0965,0.82
120105,河北区,0.1546,0.1716,0.1385,0.7339,0.7537,0.7151,0.0424,0.0397,0.045,0.0691,0.035,0.1014,0.82
120106,红桥区,0.1522,0.1693,0.1359,0.7397,0.7595,0.7208,0.0379,0.0348,0.0409,0.0702,0.0364,0.1024,0.82
120110,东丽区,0.2142,0.2579,0.1634,0.7165,0.6969,0.7392,0.0323,0.0266,0.0389,0.037,0.0185,0.0584,0.96
120111,西青区,0.2552,0.2756,0.2335,0.682,0.6836,0.6803,0.0276,0.0232,0.0323,0.0352,0.0176,0.0539,0.89
120112,津南区,0.2364,0.2595,0.2115,0.693,0.6913,0.6949,0.0314,0.0281,0.0351,0.0391,0.0212,0.0585,0.95
120113,北辰区,0.1911,0.211,0.1703,0.7219,0.731,0.7124,0.0367,0.0338,0.0396,0.0504,0.0242,0.0777,0.92
120114,武清区,0.1676,0.1886,0.1461,0.7605,0.7598,0.7611,0.0214,0.0228,0.0201,0.0505,0.0288,0.0726,1.12
120115,宝坻区,0.1173,0.1383,0.095,0.8047,0.7995,0.8102,0.0239,0.0269,0.0207,0.0541,0.0352,0.074,1.37
120116,滨海新区,0.184,0.2037,0.1631,0.7438,0.7492,0.738,0.0331,0.0274,0.0392,0.0391,0.0197,0.0597,0.99
120117,宁河区,0.1414,0.1665,0.115,0.7781,0.769,0.7877,0.0307,0.0326,0.0286,0.0498,0.0318,0.0687,1.34
120118,静海区,0.1911,0.2156,0.1651,0.7381,0.7327,0.7439,0.0225,0.023,0.0221,0.0482,0.0287,0.0689,1.23
120119,蓟州区,0.1334,0.1609,0.1056,0.7751,0.7676,0.7828,0.0277,0.031,0.0243,0.0638,0.0405,0.0873,1.44
130102,长安区,0.1784,0.1941,0.1635,0.7499,0.7651,0.7356,0.0262,0.0211,0.0311,0.0455,0.0198,0.0698,1.05
130104,桥西区,0.2295,0.2365,0.223,0.7113,0.7291,0.6946,0.0206,0.0163,0.0246,0.0386,0.0182,0.0578,0.93
130105,新华区,0.2117,0.2181,0.2058,0.7206,0.7414,0.7013,0.0252,0.0203,0.0298,0.0425,0.0203,0.0632,1.01
130107,井陉矿区,0.1082,0.1306,0.0855,0.7925,0.7966,0.7884,0.0213,0.0278,0.0147,0.078,0.0451,0.1114,1.37
130108,裕华区,0.2555,0.2545,0.2564,0.6893,0.7156,0.6656,0.0207,0.0146,0.0262,0.0345,0.0153,0.0518,0.92
130109,藁城区,0.1374,0.1666,0.1082,0.78,0.7793,0.7806,0.0146,0.0188,0.0105,0.068,0.0353,0.1006,1.59
130110,鹿泉区,0.1803,0.2097,0.1503,0.7501,0.7434,0.7569,0.0163,0.0183,0.0143,0.0533,0.0287,0.0785,1.33
130111,栾城区,0.1916,0.2082,0.175,0.7419,0.7479,0.7358,0.0122,0.0161,0.0084,0.0543,0.0278,0.0808,1.41
130121,井陉县,0.149,0.1872,0.1101,0.7465,0.7364,0.7568,0.0184,0.0271,0.0096,0.086,0.0494,0.1235,1.55
130123,正定县,0.1781,0.2015,0.155,0.7453,0.75,0.7407,0.0159,0.0184,0.0133,0.0607,0.0301,0.091,1.41
130125,行唐县,0.1375,0.1685,0.1063,0.7719,0.7631,0.7808,0.0178,0.0244,0.0112,0.0727,0.0441,0.1017,1.71
130126,灵寿县,0.1885,0.2136,0.1627,0.7313,0.7283,0.7343,0.0143,0.0198,0.0087,0.0659,0.0383,0.0943,1.62
130127,高邑县,0.0966,0.1286,0.0654,0.818,0.8191,0.8169,0.0111,0.0156,0.0067,0.0743,0.0368,0.111,1.82
130128,深泽县,0.1128,0.1368,0.0881,0.8018,0.7939,0.8097,0.017,0.0244,0.0093,0.0685,0.0448,0.0928,1.53
130129,赞皇县,0.1389,0.1761,0.1005,0.7799,0.7641,0.7961,0.0139,0.0181,0.0095,0.0674,0.0417,0.0939,1.95
