CODE,NAME,GHSL_POP,GHSL_POP_DENS,GHSL_URB,GHSL_POP_30,GHSL_POP_23,GHSL_POP_22,GHSL_POP_21,GHSL_POP_13,GHSL_POP_12,GHSL_POP_11,GHSL_POP_10,GHSL_VAR
110101,东城区,998395,23782.6,1,1,0,0,0,0,0,0,0,0.4085
110102,西城区,1435607,28477.3,1,1,0,0,0,0,0,0,0,0.2978
110105,朝阳区,4114655,8834.6,1,0.9988,0,0,0.0012,0,0,0,0,0.1918
110106,丰台区,2523124,8235.9,0.9993,0.9777,0.0008,0,0.0207,0,0.0007,0,0,0.2492
110107,石景山区,735310,8708.4,0.9973,0.995,0,0,0.0023,0.0014,0.0013,0.0001,0,0.2949
110108,海淀区,3649469,8499,0.9986,0.9838,0.0027,0,0.0121,0,0.0013,0.0001,0,0.1647
110109,门头沟区,343527,236.6,0.8781,0.7403,0.0196,0.0468,0.0714,0.0572,0.0555,0.0093,0,-0.125
110111,房山区,1084489,542.1,0.9198,0.5706,0.0937,0.0296,0.2259,0.0231,0.052,0.0051,0,-0.1739
110112,通州区,1297579,1433,0.9742,0.5669,0.1436,0.0099,0.2539,0.0006,0.024,0.0011,0,-0.2949
110113,顺义区,1172994,1161,0.9641,0.5659,0.151,0.0205,0.2267,0.0027,0.0317,0.0014,0,-0.1141
110114,昌平区,2054531,1527.4,0.9794,0.8598,0.0253,0.0113,0.0829,0.0068,0.0121,0.0017,0,-0.0947
110115,大兴区,1524743,1472.8,0.9651,0.708,0.0848,0.0226,0.1497,0.0038,0.0293,0.0018,0,-0.2352
110116,怀柔区,506560,238.7,0.8319,0.6005,0.0516,0.0319,0.1479,0.0687,0.0846,0.0149,0,0.1486
110117,平谷区,561872,592.3,0.9102,0.4581,0.088,0.0465,0.3177,0.0247,0.0591,0.006,0,0.2286
110118,密云区,628190,282.2,0.8009,0.4314,0.0895,0.0498,0.2302,0.0809,0.1059,0.0122,0,0.1905
110119,延庆区,427308,213.7,0.818,0.311,0.1172,0.0554,0.3344,0.0527,0.1172,0.0121,0,0.2362
120101,和平区,379197,37818.6,1,1,0,0,0,0,0,0,0,0.0682
120102,河东区,898380,22520,1,1,0,0,0,0,0,0,0,0.0461
120103,河西区,1100399,29087.2,1,1,0,0,0,0,0,0,0,0.3384
120104,南开区,1264731,32865.2,1,1,0,0,0,0,0,0,0,0.379
120105,河北区,891085,30336.7,1,1,0,0,0,0,0,0,0,0.3758
120106,红桥区,501756,23526.2,1,1,0,0,0,0,0,0,0,0.0386
120110,东丽区,945890,1976.4,0.984,0.8735,0.0602,0,0.0503,0.0039,0.0109,0.0012,0,0.0102
120111,西青区,831632,1465.6,0.9746,0.7842,0.0962,0.0044,0.0898,0.0063,0.0175,0.0016,0,-0.2957
120112,津南区,676198,1742.4,0.9837,0.6989,0.1663,0,0.1185,0,0.0154,0.0008,0,-0.2714
120113,北辰区,1019179,2138.4,0.9799,0.7812,0.0871,0.0063,0.1053,0.0075,0.0114,0.0012,0,0.1204
120114,武清区,1168109,740.5,0.9441,0.259,0.2633,0.0485,0.3733,0.0092,0.0427,0.004,0,0.0129
120115,宝坻区,958516,634.8,0.912,0.3099,0.1809,0.0642,0.357,0.0327,0.0506,0.0047,0,0.3269
120116,滨海新区,2918026,1232,0.9731,0.911,0.0138,0.005,0.0432,0.0116,0.0135,0.0018,0,0.4784
120117,宁河区,441702,379.7,0.8446,0.2898,0.1279,0.1376,0.2892,0.065,0.0804,0.0099,0,0.1173
120118,静海区,811582,549.7,0.9031,0.236,0.2833,0.0957,0.288,0.0359,0.0542,0.0068,0,0.0311
120119,蓟州区,998979,626.2,0.9178,0.1897,0.2679,0.0588,0.4014,0.0225,0.0549,0.0048,0,0.2558
130102,长安区,754207,5254.4,0.9963,0.9764,0.0018,0,0.018,0,0.0035,0.0003,0,-0.2882
130104,桥西区,849919,12654,1,1,0,0,0,0,0,0,0,-0.1324
130105,新华区,646455,7123.6,0.9978,0.9797,0.0039,0,0.0142,0,0.0022,0,0,-0.194
130107,井陉矿区,96430,1359.4,0.9807,0.7966,0,0,0.1841,0,0.0172,0.0022,0,0.2521
130108,裕华区,425580,7153.9,1,1,0,0,0,0,0,0,0,-0.4482
130109,藁城区,782228,1028.5,0.9671,0.2503,0.32,0.0536,0.3432,0.0014,0.0284,0.0031,0,0.0555
130110,鹿泉区,471364,762.7,0.932,0.4491,0.085,0.1187,0.2792,0.0183,0.045,0.0046,0,-0.1987
130111,栾城区,321295,987.1,0.9638,0.3775,0.0589,0.0874,0.44,0,0.0341,0.002,0,-0.1516
130121,井陉县,323126,234.5,0.6689,0.0007,0.3421,0.0815,0.2446,0.1571,0.1576,0.0163,0,0.2874
130123,正定县,483957,1003.4,0.9683,0.3688,0.1828,0.0805,0.3363,0,0.0283,0.0033,0,-0.119
130125,行唐县,413584,429.8,0.836,0.1771,0.1049,0.1292,0.4247,0.0511,0.1036,0.0093,0,0.0981
130126,灵寿县,338327,320.4,0.8129,0,0.2232,0.1362,0.4535,0.0417,0.1335,0.0119,0,0.0945
130127,高邑县,201628,906.5,0.9464,0.413,0.1045,0.0469,0.382,0.0057,0.0451,0.0027,0,0.1304
130128,深泽县,252540,851.4,0.959,0,0.3772,0.1426,0.4392,0,0.0373,0.0037,0,0.1702
130129,赞皇县,243730,290.6,0.7578,0.2128,0.0433,0.1597,0.3419,0.0972,0.1289,0.0162,0,0.0049
