CODE,NAME,HHLD_R,HHLD_S,HHLD_1P,HHLD_1G,HHLD_2G,HHLD_3G,HHLD_4GP,HHLD_65,HHLD_65_1,HHLD_65_2,HHLD_65_3P
110101,东城区,0.9371,2.33,0.2926,0.5186,0.3702,0.1101,0.0011,0.3169,0.19,0.1242,0.0027
110102,西城区,0.9442,2.37,0.2835,0.5153,0.371,0.1124,0.0013,0.3172,0.1849,0.1292,0.0031
110105,朝阳区,0.9175,2.16,0.3435,0.6244,0.2958,0.0789,0.0009,0.2283,0.1282,0.0987,0.0014
110106,丰台区,0.9357,2.28,0.2849,0.5892,0.3159,0.0935,0.0013,0.262,0.1435,0.1169,0.0016
110107,石景山区,0.9202,2.35,0.2523,0.5517,0.345,0.1022,0.001,0.2801,0.1518,0.1267,0.0016
110108,海淀区,0.8307,2.33,0.3119,0.5581,0.3291,0.1114,0.0014,0.2454,0.1334,0.1101,0.0019
110109,门头沟区,0.9049,2.28,0.2642,0.5931,0.3274,0.0782,0.0013,0.2523,0.1478,0.1034,0.0011
110111,房山区,0.8618,2.49,0.2342,0.5409,0.3288,0.1274,0.0029,0.2538,0.1432,0.1094,0.0011
110112,通州区,0.8119,2.34,0.2985,0.599,0.2946,0.1041,0.0023,0.2128,0.1173,0.0942,0.0013
110113,顺义区,0.8892,2.3,0.3247,0.6335,0.2538,0.1085,0.0041,0.1866,0.102,0.0834,0.0012
110114,昌平区,0.8018,2.23,0.3375,0.6488,0.2479,0.1014,0.0018,0.1739,0.0953,0.0774,0.0012
110115,大兴区,0.7921,2.39,0.2855,0.5923,0.2925,0.1123,0.0029,0.185,0.1029,0.0809,0.0012
110116,怀柔区,0.832,2.39,0.2535,0.5871,0.3096,0.1001,0.0032,0.2424,0.1398,0.1008,0.0017
110117,平谷区,0.9188,2.61,0.2102,0.5058,0.3444,0.1433,0.0065,0.309,0.1722,0.1344,0.0025
110118,密云区,0.9122,2.47,0.2181,0.5585,0.3318,0.107,0.0026,0.276,0.1603,0.1142,0.0016
110119,延庆区,0.8607,2.38,0.2196,0.5822,0.3369,0.0793,0.0015,0.2885,0.1629,0.1243,0.0014
120101,和平区,0.7506,2.31,0.2629,0.5222,0.4004,0.0764,0.0009,0.3003,0.1745,0.1231,0.0027
120102,河东区,0.8499,2.2,0.2773,0.5795,0.3564,0.0634,0.0008,0.3126,0.1674,0.1436,0.0017
120103,河西区,0.8273,2.26,0.2667,0.5458,0.3776,0.0753,0.0013,0.3342,0.1798,0.1524,0.0021
120104,南开区,0.8474,2.24,0.2695,0.5611,0.3685,0.0693,0.0011,0.3274,0.1729,0.1526,0.0019
120105,河北区,0.8687,2.22,0.2676,0.5749,0.357,0.0671,0.0011,0.3381,0.1851,0.151,0.002
120106,红桥区,0.8461,2.21,0.262,0.5869,0.3511,0.0612,0.0007,0.3338,0.1806,0.1513,0.0019
120110,东丽区,0.8063,2.33,0.2642,0.5739,0.3577,0.0677,0.0007,0.1909,0.1041,0.0859,0.0009
120111,西青区,0.7283,2.35,0.2529,0.57,0.365,0.064,0.001,0.2005,0.1069,0.0928,0.0008
120112,津南区,0.7871,2.42,0.2385,0.5298,0.3923,0.0765,0.0014,0.1933,0.1056,0.087,0.0006
120113,北辰区,0.8095,2.35,0.2554,0.5575,0.3631,0.0782,0.0012,0.2392,0.1306,0.1077,0.0009
120114,武清区,0.8898,2.67,0.1941,0.4705,0.3802,0.143,0.0063,0.2744,0.1559,0.1167,0.0018
120115,宝坻区,0.911,2.58,0.1882,0.5169,0.3751,0.1041,0.0038,0.2925,0.1517,0.1389,0.0019
120116,滨海新区,0.846,2.39,0.2418,0.539,0.3903,0.0699,0.0008,0.2106,0.1103,0.0996,0.0007
120117,宁河区,0.934,2.6,0.1944,0.5088,0.3806,0.1069,0.0038,0.2818,0.1489,0.1313,0.0016
120118,静海区,0.8639,2.54,0.2047,0.518,0.4042,0.0755,0.0022,0.2493,0.1369,0.1114,0.001
120119,蓟州区,0.9533,2.72,0.1806,0.4702,0.3806,0.1416,0.0075,0.3088,0.171,0.1356,0.0022
130102,长安区,0.8888,2.55,0.2359,0.4891,0.3981,0.1089,0.0038,0.1942,0.1115,0.0815,0.0012
130104,桥西区,0.8598,2.5,0.2523,0.5197,0.3824,0.0959,0.0019,0.2022,0.1102,0.0906,0.0014
130105,新华区,0.8538,2.65,0.1984,0.4597,0.4244,0.1134,0.0025,0.2101,0.1135,0.0952,0.0014
130107,井陉矿区,0.9473,2.62,0.2025,0.498,0.353,0.1452,0.0038,0.2908,0.1807,0.109,0.0012
130108,裕华区,0.8372,2.66,0.2039,0.454,0.4258,0.116,0.0042,0.2007,0.1054,0.0938,0.0014
130109,藁城区,0.9366,3.22,0.1478,0.3618,0.3772,0.2417,0.0193,0.321,0.1879,0.1307,0.0024
130110,鹿泉区,0.8791,3.11,0.156,0.3639,0.3993,0.2238,0.013,0.2756,0.1589,0.1144,0.0023
130111,栾城区,0.9016,3.22,0.1545,0.3518,0.395,0.2374,0.0158,0.3037,0.1763,0.1252,0.0023
130121,井陉县,0.9588,2.61,0.2422,0.4868,0.36,0.1489,0.0042,0.3512,0.2265,0.1234,0.0013
130123,正定县,0.8984,3.03,0.1728,0.4072,0.3675,0.2128,0.0125,0.2831,0.1639,0.1175,0.0017
130125,行唐县,0.9655,2.75,0.2048,0.4609,0.4026,0.1317,0.0048,0.3056,0.1869,0.1174,0.0013
130126,灵寿县,0.9021,2.93,0.1851,0.4312,0.3877,0.1722,0.0089,0.3237,0.1944,0.1273,0.0019
130127,高邑县,0.9727,3.1,0.1531,0.393,0.3905,0.2062,0.0102,0.3184,0.1758,0.1408,0.0018
130128,深泽县,0.9827,2.42,0.2348,0.5369,0.3885,0.0721,0.0025,0.3128,0.177,0.1343,0.0015
130129,赞皇县,0.9812,2.84,0.2076,0.4537,0.4491,0.094,0.0032,0.2477,0.1505,0.0963,0.0009
130130,无极县,0.97,2.99,0.1908,0.4098,0.3614,0.2161,0.0127,0.3122,0.187,0.1236,0.0016
130131,平山县,0.9681,2.82,0.2255,0.4499,0.3671,0.1743,0.0087,0.3173,0.1936,0.122,0.0017
130132,元氏县,0.9468,3.16,0.1549,0.3716,0.4032,0.2135,0.0118,0.3119,0.1818,0.1282,0.0019
130133,赵县,0.9621,3.23,0.1387,0.3374,0.3981,0.2493,0.0152,0.3462,0.1961,0.1474,0.0028
130171,石家庄高新技术产业开发区,0.8434,2.86,0.1907,0.4173,0.4152,0.1607,0.0068,0.1603,0.0891,0.07,0.0011
130172,石家庄循环化工园区,0.9635,2.88,0.2028,0.4439,0.3661,0.1785,0.0115,0.312,0.1786,0.1308,0.0025
130181,辛集市,0.9529,2.54,0.2194,0.5292,0.346,0.1198,0.005,0.3358,0.178,0.1551,0.0026
130183,晋州市,0.971,2.85,0.1766,0.4526,0.3806,0.1589,0.0079,0.3043,0.1648,0.1378,0.0017
130184,新乐市,0.9245,3.15,0.1661,0.3712,0.3893,0.2277,0.0119,0.278,0.1701,0.1066,0.0013
130202,路南区,0.9345,2.41,0.2302,0.5334,0.3764,0.0886,0.0016,0.2776,0.1501,0.126,0.0016
