CODE,NAME,HOUS_ROOM,HOUS_SMPP,HOUS_SAMP_WATR,HOUS_SAMP_KTCH,HOUS_SAMP_WC,HOUS_SAMP_BATH,HOUS_SAMP_BDEL,HOUS_SAMP_HHVE,HOUS_SAMP_LEAS,HOUS_SAMP_SELF,HOUS_SAMP_BUY,HOUS_SAMP_INHE,HOUS_SAMP_OTHR
110101,东城区,1.94,26.25,0.9679,0.9289,0.776,0.9128,0.4052,0.468,0.3884,0.0179,0.5146,0.0282,0.051
110102,西城区,1.97,26.37,0.9675,0.9181,0.8464,0.9277,0.4243,0.4895,0.3477,0.0096,0.5487,0.0335,0.0605
110105,朝阳区,2.03,35.93,0.9391,0.9383,0.9343,0.9386,0.594,0.4596,0.3486,0.0165,0.5321,0.0037,0.0991
110106,丰台区,2.13,33.35,0.9604,0.945,0.9365,0.9408,0.5621,0.4654,0.3271,0.0252,0.5276,0.0177,0.1024
110107,石景山区,2.06,31.02,0.9733,0.9684,0.955,0.9603,0.5345,0.4844,0.2498,0.015,0.639,0.0079,0.0883
110108,海淀区,2.18,32.74,0.9446,0.9256,0.9311,0.9311,0.4889,0.51,0.3955,0.0268,0.4974,0.0074,0.0728
110109,门头沟区,2.27,32.39,0.9683,0.9625,0.9316,0.9437,0.4658,0.443,0.2439,0.1496,0.3248,0.0181,0.2635
110111,房山区,2.9,40.78,0.987,0.9813,0.9788,0.9554,0.3147,0.5316,0.2335,0.2753,0.4131,0.0055,0.0726
110112,通州区,2.56,36.42,0.9461,0.9465,0.9465,0.9342,0.405,0.4602,0.3408,0.1668,0.361,0.0144,0.1171
110113,顺义区,2.49,36.04,0.9182,0.903,0.9523,0.8817,0.2541,0.5154,0.4579,0.2123,0.2721,0.0042,0.0535
110114,昌平区,2.15,34.86,0.9681,0.9426,0.9771,0.9599,0.2942,0.4373,0.4978,0.0863,0.3428,0.0024,0.0706
110115,大兴区,2.59,38.44,0.9247,0.9151,0.9317,0.897,0.4294,0.5495,0.4051,0.1236,0.4214,0.0068,0.0432
