CODE,NAME,POPU,POPU_WM,POPU_ETHNIC,POPU_URB,POPU_REG_C,POPU_REG_P,POPU_REG_O
110101,东城区,708829,94.24,0.0578,1,0.0666,0.1039,0.223
110102,西城区,1106214,94.16,0.0648,1,0.1057,0.0773,0.2207
110105,朝阳区,3452460,97.7,0.0493,1,0.1357,0.1066,0.371
110106,丰台区,2019764,97.92,0.0418,0.992,0.1062,0.1899,0.3195
110107,石景山区,567851,98.47,0.0404,1,0.1078,0.1713,0.293
110108,海淀区,3133469,99.41,0.0499,0.9761,0.1046,0.0794,0.3569
110109,门头沟区,392606,102.86,0.0273,0.9143,0.2211,0.1147,0.2935
110111,房山区,1312778,105.97,0.0384,0.781,0.1555,0.078,0.3339
110112,通州区,1840295,110.99,0.0471,0.7398,0.1071,0.0984,0.488
110113,顺义区,1324044,115.87,0.0432,0.6611,0.1573,0.0807,0.4526
110114,昌平区,2269487,116.18,0.0445,0.8179,0.0674,0.1411,0.5774
110115,大兴区,1993591,116.43,0.0426,0.8138,0.1039,0.1259,0.5106
110116,怀柔区,441040,114.06,0.0954,0.7588,0.1823,0.053,0.3532
110117,平谷区,457313,104.69,0.0207,0.609,0.1806,0.0404,0.1712
110118,密云区,527683,104.53,0.0812,0.664,0.2241,0.0451,0.2114
110119,延庆区,345671,110.93,0.0456,0.595,0.2085,0.0479,0.2336
120101,和平区,355000,107.92,0.038,1,0.0507,0.0765,0.3964
120102,河东区,858787,100.08,0.0262,1,0.1157,0.1659,0.2163
120103,河西区,822174,95.65,0.0326,1,0.109,0.1081,0.2174
120104,南开区,917106,97.46,0.0347,1,0.1037,0.1401,0.2236
120105,河北区,647702,98.82,0.0294,1,0.1195,0.1374,0.1906
120106,红桥区,483130,100.1,0.0674,1,0.1443,0.1624,0.2025
120110,东丽区,936322,117.28,0.0282,1,0.0925,0.2042,0.3532
120111,西青区,1180770,111.46,0.03,0.9469,0.0446,0.2278,0.3779
120112,津南区,928066,112.15,0.0316,1,0.0598,0.1513,0.326
120113,北辰区,909643,108.56,0.0524,0.9044,0.096,0.2501,0.307
120114,武清区,1153235,106.1,0.0279,0.5536,0.1026,0.0263,0.2048
120115,宝坻区,722367,106.77,0.0185,0.4278,0.1334,0.0202,0.1166
120116,滨海新区,1973752,110.02,0.0269,0.9567,0.1321,0.0434,0.3198
120117,宁河区,395333,107.9,0.0136,0.4779,0.0858,0.0155,0.0998
120118,静海区,787106,109.84,0.0194,0.5687,0.0843,0.0287,0.2658
120119,蓟州区,795516,102.79,0.0492,0.4814,0.1097,0.0111,0.0556
130102,长安区,1059572,101.24,0.0223,1,0.0974,0.3542,0.1234
130104,桥西区,979646,96.27,0.0207,1,0.1282,0.3832,0.082
130105,新华区,802057,96.41,0.02,1,0.1027,0.4148,0.0895
130107,井陉矿区,77015,102.75,0.0029,0.8769,0.2236,0.1544,0.0405
130108,裕华区,771255,93.76,0.0235,1,0.0967,0.3826,0.0884
130109,藁城区,741068,102.4,0.0141,0.5765,0.0918,0.0682,0.0166
130110,鹿泉区,588279,102.97,0.0133,0.7468,0.0918,0.2616,0.0509
130111,栾城区,378689,102.32,0.0071,0.6826,0.1284,0.1283,0.0483
130121,井陉县,250989,104.97,0.0031,0.5289,0.1244,0.0594,0.0156
130123,正定县,549321,101.14,0.0133,0.6477,0.1635,0.1418,0.0359
130125,行唐县,376627,102.2,0.0026,0.3585,0.1193,0.015,0.0077
130126,灵寿县,309121,102.2,0.0065,0.4603,0.1117,0.0687,0.0188
130127,高邑县,178368,102.89,0.0022,0.563,0.1452,0.0298,0.0138
130128,深泽县,215806,99.65,0.0016,0.4366,0.0595,0.0166,0.0092
130129,赞皇县,242549,105.39,0.0014,0.3429,0.1579,0.0152,0.0067
130130,无极县,451377,99.85,0.0222,0.4125,0.0769,0.0221,0.0083
130131,平山县,423333,104.36,0.0031,0.5195,0.191,0.0286,0.0136
130132,元氏县,392710,107.48,0.0028,0.4795,0.1445,0.0438,0.0145
130133,赵县,505366,105.03,0.0013,0.3968,0.0908,0.0154,0.0068
130171,石家庄高新技术产业开发区,304675,98.43,0.0185,1,0.045,0.4531,0.0652
130172,石家庄循环化工园区,56147,104.98,0.0076,0.8588,0.0274,0.1217,0.0352
130181,辛集市,594628,100.43,0.0037,0.6192,0.2075,0.0483,0.0201
130183,晋州市,507959,100.88,0.0019,0.4688,0.1075,0.0231,0.0138
130184,新乐市,478529,99.61,0.0197,0.5882,0.1669,0.0557,0.0206
130202,路南区,334204,100.47,0.025,0.9391,0.1242,0.2242,0.129
130203,路北区,784667,97.26,0.0218,0.9622,0.2168,0.1545,0.0679
130204,古冶区,317932,99.72,0.0144,0.869,0.1888,0.0576,0.0317
130205,开平区,279432,102.36,0.0383,0.7395,0.1406,0.1468,0.0877
130207,丰南区,552532,104.21,0.0356,0.6294,0.1436,0.0749,0.0589
130208,丰润区,800740,103.28,0.0272,0.583,0.177,0.0601,0.0373
130209,曹妃甸区,352069,119.05,0.0291,0.8556,0.1584,0.3086,0.1131
130224,滦南县,508538,102.3,0.0263,0.4673,0.1421,0.023,0.0142
130225,乐亭县,389198,104.8,0.0096,0.4479,0.196,0.0333,0.0299
130227,迁西县,365615,104.63,0.0277,0.5471,0.2138,0.0227,0.0178
130229,玉田县,664906,103.29,0.0476,0.4455,0.1049,0.0228,0.0276
130271,河北唐山芦台经济开发区,43558,115.14,0.0103,0.5747,0.0518,0.0406,0.1873
130272,唐山市汉沽管理区,52550,110.33,0.0104,0.6853,0.0844,0.0503,0.3037
130273,唐山高新技术产业开发区,169923,95.66,0.0279,0.7213,0.0722,0.3119,0.0813
130274,河北唐山海港经济开发区,98218,107.36,0.0429,0.6784,0.1205,0.3081,0.0787
130281,遵化市,707047,101.32,0.134,0.5556,0.1704,0.0267,0.0208
130283,迁安市,776752,106.12,0.035,0.6002,0.2257,0.0466,0.0347
130284,滦州市,520102,104.1,0.0176,0.5361,0.0971,0.0309,0.0155
130302,海港区.,1024876,100.4,0.0869,0.9047,0.1923,0.1921,0.1367
130303,山海关区,164989,100.86,0.0901,0.9378,0.1744,0.1202,0.1704
130304,北戴河区,130104,94.33,0.042,0.8891,0.0942,0.2142,0.1385
130306,抚宁区,291211,103.71,0.0165,0.4238,0.1391,0.0391,0.0323
130321,青龙满族自治县,431138,107.56,0.7975,0.3152,0.099,0.0141,0.0106
130322,昌黎县,487989,100.81,0.0132,0.4657,0.1134,0.0411,0.0219
130324,卢龙县,333942,103.18,0.0165,0.3694,0.0747,0.0222,0.0108
130371,秦皇岛市经济技术开发区,197898,99.86,0.0977,0.8058,0.1083,0.3024,0.1315
130372,北戴河新区,74732,100.93,0.0309,0.5319,0.0282,0.0789,0.071
130402,邯山区,614303,99.96,0.0127,0.8539,0.1319,0.2192,0.0481
130403,丛台区,572175,98.61,0.0075,0.8728,0.1766,0.1222,0.0336
130404,复兴区,319980,101.61,0.0085,0.9333,0.1669,0.1937,0.0365
130406,峰峰矿区,429245,102.25,0.0029,0.763,0.1074,0.0578,0.0257
130407,肥乡区,372265,100.87,0.0015,0.5056,0.0582,0.0181,0.016
130408,永年区,851227,101.5,0.001,0.5197,0.0929,0.0211,0.0104
130423,临漳县,589003,94.7,0.0015,0.494,0.1178,0.0156,0.0083
130424,成安县,401052,99.54,0.0019,0.4535,0.1122,0.0244,0.0093
130425,大名县,726396,99.19,0.0214,0.4376,0.0999,0.0107,0.0063
130426,涉县,379559,101.95,0.0016,0.6321,0.2474,0.02,0.0146
130427,磁县,426345,100.26,0.0028,0.5251,0.0979,0.0452,0.0091
130430,邱县,210998,99.26,0.0437,0.5339,0.1233,0.0131,0.0057
130431,鸡泽县,297425,99.93,0.0017,0.4751,0.063,0.0169,0.0073
130432,广平县,264025,96.91,0.0007,0.5346,0.0803,0.0153,0.0042
130433,馆陶县,307912,98.49,0.0013,0.51,0.0772,0.0195,0.0134
130434,魏县,796806,98.31,0.0009,0.4487,0.094,0.0091,0.005
130435,曲周县,463727,98.98,0.0011,0.5278,0.0728,0.0138,0.0042
130471,邯郸经济技术开发区,294436,107.16,0.0064,0.5882,0.0315,0.1185,0.0391
130473,邯郸冀南新区,285480,102.51,0.0014,0.5916,0.028,0.0363,0.0067
130481,武安市,811631,101.56,0.0021,0.5587,0.1876,0.0377,0.0148
130502,襄都区,426224,97.6,0.0134,0.9145,0.1824,0.2677,0.0388
130503,信都区,798770,100.55,0.0083,0.7685,0.1814,0.1589,0.0214
130505,任泽区,342869,103.96,0.0011,0.4711,0.0873,0.0193,0.0086
130506,南和区,350384,102.69,0.0015,0.5879,0.1144,0.0168,0.0129
130522,临城县,199793,102.36,0.0022,0.4551,0.1106,0.0321,0.0187
130523,内丘县,258260,97.66,0.0013,0.449,0.1535,0.0232,0.0106
130524,柏乡县,168761,101.8,0.0011,0.4595,0.076,0.0164,0.0067
130525,隆尧县,480447,102.54,0.0009,0.4429,0.0495,0.0119,0.0048
130528,宁晋县,745389,104.75,0.0012,0.4593,0.0907,0.0146,0.0066
130529,巨鹿县,346007,101.4,0.0018,0.4132,0.123,0.0264,0.0086
130530,新河县,134095,99.84,0.0019,0.4844,0.175,0.0233,0.0122
130531,广宗县,280603,103.06,0.0015,0.3651,0.0539,0.0207,0.0085
130532,平乡县,323675,102.31,0.0013,0.5472,0.0713,0.0167,0.0079
130533,威县,496230,101.06,0.0104,0.3919,0.0926,0.0138,0.0055
130534,清河县,421582,106.36,0.0023,0.603,0.1069,0.0418,0.0172
130535,临西县,326968,101.51,0.0108,0.4314,0.1173,0.009,0.0092
130571,河北邢台经济开发区,182585,105.75,0.0072,0.6003,0.0333,0.2029,0.0263
130581,南宫市,396718,99.98,0.0012,0.4624,0.1137,0.0399,0.0079
130582,沙河市,431746,101.14,0.0016,0.616,0.2053,0.047,0.0152
130602,竞秀区,522813,98.08,0.0234,0.9935,0.1379,0.2413,0.065
130606,莲池区,913541,97.36,0.0349,0.9621,0.1544,0.2894,0.0788
130607,满城区,391359,105.8,0.0126,0.5474,0.1227,0.0409,0.0191
130608,清苑区,625246,103.33,0.0078,0.4271,0.0757,0.024,0.0139
130609,徐水区,604275,105.02,0.0204,0.4766,0.0884,0.0494,0.0293
130623,涞水县,315753,100.47,0.0555,0.5177,0.1305,0.0256,0.0208
130624,阜平县,194004,103.35,0.0028,0.5171,0.2105,0.0278,0.0178
130626,定兴县,512765,98.62,0.0314,0.4486,0.0921,0.0264,0.0173
130627,唐县,505849,99.69,0.0023,0.3777,0.1067,0.0158,0.0101
130628,高阳县,318986,104.45,0.0043,0.4645,0.0902,0.0396,0.0368
130629,容城县,273164,113.15,0.0125,0.5316,0.0674,0.0545,0.0685
130630,涞源县,248890,106.12,0.0022,0.6548,0.3063,0.0222,0.0125
130631,望都县,233790,99.08,0.004,0.5239,0.1764,0.0381,0.0125
130632,安新县,453723,103.71,0.0038,0.4115,0.0544,0.0264,0.0303
130633,易县,485536,100.73,0.0607,0.4109,0.1362,0.0205,0.0143
130634,曲阳县,573975,99.66,0.002,0.4098,0.0846,0.0158,0.009
130635,蠡县,488152,103.89,0.0023,0.4742,0.0497,0.0158,0.0101
130636,顺平县,269678,101.73,0.0026,0.4065,0.1149,0.0202,0.0101
130637,博野县,225065,100.57,0.0017,0.5047,0.0664,0.0232,0.0094
130638,雄县,478553,109.38,0.0228,0.4916,0.084,0.0376,0.0558
130671,保定高新技术产业开发区,96301,99.17,0.0164,0.6309,0.0647,0.2611,0.0481
130672,保定白沟新城,153132,108.65,0.0478,0.9793,0.0544,0.3194,0.2835
130681,涿州市,667678,99.55,0.0239,0.5928,0.1299,0.0628,0.0793
130682,定州市,1095986,97.97,0.0282,0.5269,0.1515,0.0396,0.0158
130683,安国市,363091,99.63,0.0101,0.5231,0.1707,0.0233,0.0142
130684,高碑店市,532731,102.02,0.0194,0.5808,0.1242,0.0505,0.0464
130702,桥东区,279616,99.43,0.0251,0.8576,0.153,0.1992,0.0717
130703,桥西区,279033,93.03,0.0312,0.9904,0.2038,0.3356,0.0611
130705,宣化区,542358,99.83,0.0127,0.7537,0.2582,0.1195,0.0393
130706,下花园区,64216,109.17,0.0123,0.8047,0.1428,0.0978,0.0947
130708,万全区,216795,102.21,0.006,0.6981,0.2485,0.1281,0.0351
130709,崇礼区,105501,119.53,0.0389,0.5453,0.2442,0.0863,0.0835
130722,张北县,308880,100.8,0.0143,0.6934,0.3744,0.1489,0.0386
130723,康保县,138205,101.83,0.01,0.4927,0.261,0.0344,0.0319
130724,沽源县,160995,102.4,0.0253,0.5682,0.2637,0.0496,0.0306
130725,尚义县,104247,102.11,0.0094,0.5359,0.222,0.0331,0.0371
130726,蔚县,411824,104.43,0.0027,0.524,0.2388,0.0285,0.0257
130727,阳原县,205773,101.7,0.0037,0.5626,0.19,0.0353,0.0365
130728,怀安县,179949,102.43,0.0043,0.5244,0.1156,0.0417,0.0275
130730,怀来县,348746,103.45,0.0234,0.6069,0.1843,0.0721,0.0368
130731,涿鹿县,294013,104.32,0.0131,0.4723,0.1621,0.0304,0.0155
130732,赤城县,197919,106.19,0.0118,0.5059,0.1982,0.0206,0.0124
130771,张家口经济开发区,257331,101.31,0.0217,0.8216,0.0801,0.4677,0.0653
130772,张家口市察北管理区,16915,105.63,0.009,0.7743,0.239,0.3098,0.0669
130773,张家口市塞北管理区,6592,107.56,0.066,0.9853,0.2137,0.2115,0.1872
130802,双桥区,358431,98.73,0.2195,0.9553,0.2065,0.1997,0.0505
130803,双滦区,187361,100.28,0.3148,0.8253,0.2043,0.2843,0.0396
130804,鹰手营子矿区,54730,97.93,0.0941,0.9376,0.1302,0.189,0.0259
130821,承德县,340579,105.73,0.1434,0.4296,0.1582,0.0403,0.0206
130822,兴隆县,271628,102.18,0.0885,0.5004,0.1306,0.0278,0.0198
130824,滦平县,268647,103.15,0.6412,0.4835,0.2274,0.0362,0.0217
130825,隆化县,347707,103.73,0.5997,0.3991,0.1769,0.0264,0.0134
130826,丰宁满族自治县,326353,103.32,0.7223,0.4545,0.2429,0.0269,0.0235
130827,宽城满族自治县,240579,106.98,0.7919,0.5856,0.2348,0.0314,0.017
130828,围场满族蒙古族自治县,423676,103.47,0.6864,0.4108,0.2111,0.0245,0.016
130871,承德高新技术产业开发区,135375,101.66,0.1832,0.7929,0.0317,0.505,0.0538
130881,平泉市,399378,102.42,0.3728,0.5715,0.1964,0.0199,0.0151
130902,新华区,253222,101.1,0.1226,0.9605,0.1395,0.3147,0.0706
130903,运河区,511086,98.39,0.0519,0.9483,0.151,0.2862,0.0707
130921,沧县,626011,106.82,0.0376,0.1998,0.0247,0.0199,0.0255
130922,青县,420878,103.79,0.058,0.5378,0.1144,0.0248,0.0338
130923,东光县,340288,102.22,0.004,0.5021,0.1458,0.0281,0.0142
130924,海兴县,189273,103.61,0.0196,0.382,0.1193,0.0171,0.0178
130925,盐山县,411356,104.49,0.0082,0.4621,0.1421,0.0223,0.0148
